devolucion_id,pedido_id,sku,motivo,estado,fecha_solicitud,tipo_solucion
DEV-00001,MS-2026-00039,MS-1018,Producto equivocado,SOLICITADA,2026-07-26,NOTA_CREDITO
DEV-00002,MS-2026-00003,MS-1018,Talla incorrecta,COMPLETADA,2026-08-19,NOTA_CREDITO
DEV-00003,MS-2026-00019,MS-1009,No era lo esperado,SOLICITADA,2026-08-10,CAMBIO
DEV-00004,MS-2026-00021,MS-1001,Llegó dañado,COMPLETADA,2026-08-25,NOTA_CREDITO
DEV-00005,MS-2026-00005,MS-1023,Arrepentimiento de compra,SOLICITADA,2026-08-06,CAMBIO
DEV-00006,MS-2026-00023,MS-1026,Talla incorrecta,RECHAZADA,2026-08-16,NOTA_CREDITO
DEV-00007,MS-2026-00011,MS-1020,No era lo esperado,COMPLETADA,2026-08-01,REEMBOLSO
DEV-00008,MS-2026-00010,MS-1010,Talla incorrecta,SOLICITADA,2026-08-15,REEMBOLSO
DEV-00009,MS-2026-00009,MS-1009,Producto equivocado,COMPLETADA,2026-08-25,REEMBOLSO
DEV-00010,MS-2026-00011,MS-1027,Arrepentimiento de compra,APROBADA,2026-08-02,REEMBOLSO
DEV-00011,MS-2026-00035,MS-1012,Producto con falla,RECHAZADA,2026-07-22,CAMBIO
DEV-00012,MS-2026-00023,MS-1011,Producto con falla,RECHAZADA,2026-09-01,CAMBIO
DEV-00013,MS-2026-00047,MS-1023,Producto con falla,COMPLETADA,2026-08-20,NOTA_CREDITO
DEV-00014,MS-2026-00016,MS-1015,Producto equivocado,APROBADA,2026-07-30,REEMBOLSO
DEV-00015,MS-2026-00042,MS-1039,Arrepentimiento de compra,APROBADA,2026-08-19,REEMBOLSO
DEV-00016,MS-2026-00038,MS-1031,No era lo esperado,APROBADA,2026-07-25,CAMBIO
DEV-00017,MS-2026-00048,MS-1033,Talla incorrecta,COMPLETADA,2026-08-13,CAMBIO
DEV-00018,MS-2026-00022,MS-1041,No era lo esperado,COMPLETADA,2026-07-29,CAMBIO
DEV-00019,MS-2026-00044,MS-1018,Llegó dañado,SOLICITADA,2026-08-05,REEMBOLSO
DEV-00020,MS-2026-00037,MS-1008,Talla incorrecta,RECHAZADA,2026-08-13,REEMBOLSO
DEV-00021,MS-2026-00013,MS-1022,Talla incorrecta,APROBADA,2026-07-29,REEMBOLSO
DEV-00022,MS-2026-00019,MS-1028,Arrepentimiento de compra,SOLICITADA,2026-08-10,REEMBOLSO
DEV-00023,MS-2026-00001,MS-1037,Producto con falla,SOLICITADA,2026-07-30,CAMBIO
DEV-00024,MS-2026-00001,MS-1030,No era lo esperado,APROBADA,2026-08-14,REEMBOLSO
DEV-00025,MS-2026-00039,MS-1011,Producto con falla,APROBADA,2026-08-21,REEMBOLSO
DEV-00026,MS-2026-00045,MS-1035,Producto equivocado,RECHAZADA,2026-08-08,REEMBOLSO
DEV-00027,MS-2026-00019,MS-1025,Producto con falla,APROBADA,2026-07-22,CAMBIO
DEV-00028,MS-2026-00015,MS-1009,Producto con falla,APROBADA,2026-08-17,CAMBIO
DEV-00029,MS-2026-00040,MS-1039,Llegó dañado,COMPLETADA,2026-07-31,NOTA_CREDITO
DEV-00030,MS-2026-00003,MS-1032,Arrepentimiento de compra,APROBADA,2026-08-24,NOTA_CREDITO
