siniestro_id,poliza_id,placa,fecha_ocurrencia,tipo,estado,distrito,cantidad_lesionados,monto_estimado_soles
SIN-2026-00001,SOAT-2026-00035,XVY-829,2026-05-13,CHOQUE_SIMPLE,APROBADO,Chorrillos,1,22782.01
SIN-2026-00002,SOAT-2026-00020,WMY-509,2025-12-21,DESPISTE,EN_EVALUACION,Independencia,2,683.12
SIN-2026-00003,SOAT-2026-00024,HEX-874,2026-08-06,CHOQUE_SIMPLE,APROBADO,San Juan de Lurigancho,0,2403.62
SIN-2026-00004,SOAT-2026-00026,KLJ-264,2026-08-01,COLISION_MULTIPLE,EN_EVALUACION,San Juan de Lurigancho,3,3175.61
SIN-2026-00005,SOAT-2026-00015,RAR-712,2026-05-22,CHOQUE_SIMPLE,REPORTADO,Magdalena del Mar,2,11067.33
SIN-2026-00006,SOAT-2026-00012,ZJV-994,2026-03-22,COLISION_MULTIPLE,REPORTADO,Comas,3,1039.01
SIN-2026-00007,SOAT-2026-00043,VWV-718,2026-07-15,COLISION_MULTIPLE,APROBADO,Comas,1,7229.15
SIN-2026-00008,SOAT-2026-00021,SGQ-171,2026-07-12,DESPISTE,LIQUIDADO,Callao,2,2400.58
SIN-2026-00009,SOAT-2026-00008,FGC-383,2026-02-26,COLISION_MULTIPLE,APROBADO,San Borja,1,17842.15
SIN-2026-00010,SOAT-2026-00032,KRM-740,2026-05-26,DESPISTE,LIQUIDADO,Comas,0,11420.11
SIN-2026-00011,SOAT-2026-00045,FZA-969,2026-04-22,DESPISTE,LIQUIDADO,San Isidro,3,668.23
SIN-2026-00012,SOAT-2026-00006,MXK-889,2026-08-05,DESPISTE,EN_EVALUACION,Barranco,2,5742.54
SIN-2026-00013,SOAT-2026-00021,SGQ-171,2026-08-18,VOLCADURA,EN_EVALUACION,Barranco,1,5739.33
SIN-2026-00014,SOAT-2026-00025,TVE-724,2026-04-21,COLISION_MULTIPLE,REPORTADO,San Juan de Lurigancho,0,7418.07
SIN-2026-00015,SOAT-2026-00015,RAR-712,2025-12-15,COLISION_MULTIPLE,APROBADO,Pueblo Libre,2,849.7
SIN-2026-00016,SOAT-2026-00006,MXK-889,2026-08-06,VOLCADURA,REPORTADO,Barranco,1,16413.71
SIN-2026-00017,SOAT-2026-00035,XVY-829,2026-03-04,DESPISTE,LIQUIDADO,Barranco,1,1720.66
SIN-2026-00018,SOAT-2026-00012,ZJV-994,2026-02-25,COLISION_MULTIPLE,REPORTADO,Santiago de Surco,0,23820.9
SIN-2026-00019,SOAT-2026-00023,VBT-201,2025-12-05,DESPISTE,LIQUIDADO,Independencia,0,12270.34
SIN-2026-00020,SOAT-2026-00005,RER-665,2026-07-09,VOLCADURA,APROBADO,Miraflores,3,13210.68
SIN-2026-00021,SOAT-2026-00023,VBT-201,2026-01-07,DESPISTE,REPORTADO,San Juan de Lurigancho,3,12789.47
SIN-2026-00022,SOAT-2026-00028,VWQ-331,2026-08-17,CHOQUE_SIMPLE,EN_EVALUACION,San Borja,3,16624.19
SIN-2026-00023,SOAT-2026-00030,VCC-466,2026-06-20,DESPISTE,REPORTADO,Miraflores,1,19436.48
SIN-2026-00024,SOAT-2026-00040,ELX-433,2025-11-15,DESPISTE,EN_EVALUACION,Jesús María,1,16924.37
SIN-2026-00025,SOAT-2026-00032,KRM-740,2026-03-06,CHOQUE_SIMPLE,EN_EVALUACION,Barranco,2,15534.01
SIN-2026-00026,SOAT-2026-00038,GHB-795,2025-12-14,CHOQUE_SIMPLE,EN_EVALUACION,Miraflores,3,19953.02
SIN-2026-00027,SOAT-2026-00027,ADB-507,2026-05-03,COLISION_MULTIPLE,APROBADO,San Miguel,3,6585.83
SIN-2026-00028,SOAT-2026-00039,YHC-436,2026-08-21,CHOQUE_SIMPLE,EN_EVALUACION,Lince,0,3137.6
SIN-2026-00029,SOAT-2026-00043,VWV-718,2026-03-02,VOLCADURA,APROBADO,Lince,1,2255.85
SIN-2026-00030,SOAT-2026-00012,ZJV-994,2026-04-06,ATROPELLO,EN_EVALUACION,San Borja,3,18956.49
SIN-2026-00031,SOAT-2026-00008,FGC-383,2026-04-21,COLISION_MULTIPLE,LIQUIDADO,Comas,3,9207.58
SIN-2026-00032,SOAT-2026-00015,RAR-712,2026-01-16,CHOQUE_SIMPLE,REPORTADO,Magdalena del Mar,1,727.12
SIN-2026-00033,SOAT-2026-00040,ELX-433,2026-04-07,COLISION_MULTIPLE,OBSERVADO,San Isidro,0,2999.62
SIN-2026-00034,SOAT-2026-00041,MXE-326,2026-07-15,COLISION_MULTIPLE,REPORTADO,Lince,3,14996.2
SIN-2026-00035,SOAT-2026-00031,AMM-180,2026-05-09,CHOQUE_SIMPLE,LIQUIDADO,Miraflores,0,25373.86
